Rating Agency,Company,Rating,Date,CIK,Binary Rating,SIC Code,Sector,Ticker,Current Ratio,Long-term Debt / Capital,Debt/Equity Ratio,Gross Margin,Operating Margin,EBIT Margin,EBITDA Margin,Pre-Tax Profit Margin,Net Profit Margin,Asset Turnover,ROE - Return On Equity,Return On Tangible Equity,ROA - Return On Assets,ROI - Return On Investment,Operating Cash Flow Per Share,Free Cash Flow Per Share
Moody's Investors Service,"Stanley Black & Decker, Inc.",BBB,2016-11-07,93556,1,3540.0,Manuf,SWK,1.3944,0.3709,0.5908,36.1835,11.0102,11.0102,14.9772,9.5673,6.7107,0.7154,13.1636,-24.3848,5.4085,8.2808,2.6459,3.0387
Moody's Investors Service,Telefonica S.A.,BBB-,2016-11-07,814052,1,4812.0,Telcm,TEF,0.9056,0.631,2.1799,72.6593,6.1352,6.1352,6.1352,0.6586,5.8133,0.384,1.0814,-2.3371,0.2423,0.3991,-0.4546,0.1433
Standard & Poor's Ratings Services,Laredo Petroleum Inc.,B,2016-11-07,1528129,0,1311.0,Enrgy,LPI,1.5323,0.9151,10.7741,52.4388,-407.4102,-407.4102,-360.8169,-393.4592,-364.2912,0.3346,-1681.237,-1681.237,-121.8746,-142.7909,-37.6919,92.6181
Standard & Poor's Ratings Services,Avago Technologies Cayman Holdings Ltd.,BBB,2016-11-04,1441634,1,3674.0,BusEq,AVGO,2.3148,0.3761,0.6236,44.8641,-3.0891,-3.0891,20.1586,-8.361,-13.1344,0.265,-7.9951,9.7579,-3.5004,-4.988,0.6569,0.5011
Standard & Poor's Ratings Services,Consol Energy Inc.,B,2016-11-04,1710366,0,1220.0,Enrgy,CEIX,0.5135,0.2125,0.2708,98.5582,31.6919,31.6919,45.4314,31.1613,21.5943,0.4958,29.8935,29.8935,11.0687,23.5412,10.4295,5.7716
Moody's Investors Service,Occidental Petroleum Corporation,A-,2016-11-04,797468,1,1311.0,Enrgy,OXY,1.3742,0.2197,0.3411,53.4936,-77.5962,-75.4728,-39.0625,-77.5962,-62.7324,0.2875,-33.4538,-33.4538,-18.7657,-26.1048,-9.7928,-5.2463
Standard & Poor's Ratings Services,Pitney Bowes Inc.,BBB-,2016-11-03,78814,1,3579.0,BusEq,PBI,1.1937,0.9743,42.0923,56.0176,17.0713,17.0713,22.2549,11.2834,8.7336,0.588,415.0465,-18.978,4.8984,10.5972,0.1489,-0.0724
Standard & Poor's Ratings Services,Public Service Enterprise Group Inc.,A,2016-11-03,788784,1,4931.0,Utils,PEG,0.9773,0.4034,0.7601,68.6894,28.4398,28.4398,43.1397,25.7321,16.121,0.2775,12.8492,12.9663,4.4732,7.6663,1.4941,-0.5591
Standard & Poor's Ratings Services,Axalta Coating Systems LLC,B+,2016-11-03,1616862,0,2851.0,Chems,AXTA,2.1118,0.7482,3.0157,36.8054,11.3285,11.3285,19.3163,3.8418,2.2287,0.705,8.3947,-9.7895,1.6432,2.1136,0.618,0.8599
Standard & Poor's Ratings Services,Tutor Perini Corporation,BB-,2016-11-03,77543,0,1540.0,Other,TPC,1.8007,0.3391,0.5757,7.2402,2.1423,2.1423,2.9885,1.5006,0.9205,1.2743,3.1891,6.1315,1.173,2.1076,1.4373,2.2332
Standard & Poor's Ratings Services,"Constellation Brands Canada, Inc.",BB-,2016-11-02,16918,0,2082.0,NoDur,STZ,1.3104,0.5046,1.2076,44.9316,26.9547,26.9547,30.3296,22.9247,16.1093,0.386,15.8493,-27.5438,6.2517,7.8516,1.4101,0.6897
Moody's Investors Service,Public Service Enterprise Group Incorporated,BBB,2016-11-02,788784,1,4931.0,Utils,PEG,0.9773,0.4034,0.7601,68.6894,28.4398,28.4398,43.1397,25.7321,16.121,0.2775,12.8492,12.9663,4.4732,7.6663,1.4941,-0.5591
Moody's Investors Service,Southwest Airlines Co.,BBB+,2016-11-02,92380,1,4512.0,Other,LUV,0.5433,0.3095,0.5348,37.3966,20.7669,20.7669,25.888,17.553,11.004,0.93,29.6412,34.1421,10.2337,20.4673,0.6706,0.1312
Moody's Investors Service,Rogers Communications Inc.,BBB+,2016-11-02,733099,1,4812.0,Telcm,RCI,0.4766,0.7161,2.8515,86.7782,22.0857,22.0857,38.7705,14.3735,10.4358,0.4845,24.4138,-26.816,5.0453,6.9315,-1.0013,-0.9473
Moody's Investors Service,Dover Corporation,A-,2016-11-02,29905,1,3585.0,Manuf,DOV,1.7693,0.4167,0.7559,36.9182,13.2364,13.2364,17.9384,11.5091,12.5042,0.8083,16.3498,-39.5662,6.924,9.5368,0.335,0.3558
Standard & Poor's Ratings Services,"SunCoke Energy, Inc.",CCC+,2016-11-01,1514705,0,3312.0,Manuf,SXC,1.7365,0.4731,0.8981,19.3443,-4.1495,-4.1495,2.9193,-8.3522,-8.3854,0.7674,-14.4315,-14.8961,-5.1947,-7.6033,-0.523,-0.2687
