Company,Name,Score
millicom international cellular s.a.,marriot international class a,75
"consolidated communications, inc.","consolidated edison, inc.",75
comstock resources inc.,"eog resources, inc.",75
bce inc.,adobe inc.,75
nabors industries inc.,"ppg industries, inc.",75
bce inc,adobe inc.,75
"worthington industries, inc.","huntington ingalls industries, inc.",75
masonite international corp.,baxter international inc.,75
weatherford international llc,baxter international inc.,75
kronos worldwide inc.,"c.h. robinson worldwide, inc.",75
"m.d.c. holdings, inc.","leidos holdings, inc.",75
pldt inc.,"ptc, inc",75
"m.d.c. holdings, inc","leidos holdings, inc.",75
kinross gold corporation,pool corporation,75
"worthington industries, inc","huntington ingalls industries, inc.",75
csg systems international inc.,baxter international inc.,75
"interdigital, inc",gen digital inc.,75
weatherford international plc,baxter international inc.,75
acadia healthcare company inc.,"hca healthcare, inc.",75
thomson reuters corporation,atmos energy corporation,75
koppers holdings inc.,"paypal holdings, inc.",75
timken company,3m company,75
"entegris, inc.","ventas, inc.",75
royal caribbean cruises ltd.,royal caribbean group,75
thomson reuters corporation,atmos energy corporation,75
"gap, inc","ptc, inc",75
rogers communications inc.,sba communications corp,75
"seaworld parks & entertainment, inc.","caesars entertainment, inc.",75
biomarin pharmaceutical inc.,vertex pharmaceuticals inc,75
crown castle gs iii corp.,crown castle inc.,75
"tenneco, inc.","cencora, inc.",75
arrow electronics inc.,electronic arts inc,75
eli lilly and company,eli lilly & co.,74
jetblue airways corporation,entergy corporation,74
westlake chemical corp.,eastman chemical company,74
arcos dorados holdings inc.,labcorp holdings inc.,74
dish network corporation,stryker corporation,74
aar corp.,waters corp,74
universal hospital services inc.,"universal health services, inc. class b",74
"caesars entertainment operating company, inc.","caesars entertainment, inc.",74
sysco corp.,sysco corporation,74
olin corp.,intel corp,74
nucor corp.,nucor corporation,74
group 1 automotive inc.,"o'reilly automotive, inc.",74
southern copper corporation,stryker corporation,74
johnson controls inc.,johnson controls international plc,74
tms international corporation,truist financial corporation,74
dover corp.,dover corporation,74
fedex corp.,fedex corporation,74
american states water company,"american water works company, inc",74
allegheny technologies,agilent technologies inc.,74
eli lilly and company,eli lilly & co.,74
scholastic corp.,comcast corp,74
csx corp.,cintas corp,74
"wendy's international, llc",edison international,74
avnet inc.,davita inc.,74
vishay intertechnology inc.,align technology inc,74
verint systems inc.,"epam systems, inc.",74
newell brands inc,ingersoll rand inc.,74
tms international corp.,baxter international inc.,74
idex corp.,intel corp,74
amcor ltd.,amcor plcs,74
"aci worldwide, inc.","c.h. robinson worldwide, inc.",74
pilgrim's pride corporation,pg&e corporation,74
h&e equipment services inc.,"quanta services, inc.",74
"interface, inc.","teradyne, inc.",74
veon ltd.,invesco ltd,74
"hanesbrands, inc.","hasbro, inc.",74
"alon usa energy, inc.","nrg energy, inc.",74
aar corp.,waters corp,74
relx inc.,netflix inc,74
newell brands inc.,ingersoll rand inc.,74
jetblue airways corporation,entergy corporation,74
tegna inc.,"tesla, inc.",74
pilgrim's pride corporation,pg&e corporation,74
tutor perini corporation,stryker corporation,74
southern copper corporation,stryker corporation,74
"sally beauty holdings, inc.","paypal holdings, inc.",74
"csg systems international, inc.",baxter international inc.,74
"one gas, inc","oneok, inc.",73
harsco corp.,waters corp,73
"lannett company, inc.","best buy company, inc.",73
oge energy corp.,dte energy company,73
seaworld parks & entertainment inc.,"caesars entertainment, inc.",73
"the manitowoc company, inc.",the mosaic company,73
"johnson controls, inc.",johnson controls international plc,73
oge energy corp.,dte energy company,73
international speedway,international paper co.,73
snap-on inc.,"netapp, inc",73
andersons inc.,ansys inc,73
portland general electric co.,general electric company,73
kronos inc.,"rollins, inc.",73
boyd gaming corporation,ameren corporation,73
pearson plc,pentair plc,73
idacorp inc.,"corpay, inc.",73
pearson plc,pentair plc,73
commscope technologies llc,"roper technologies, inc.",73
"acadia healthcare company, inc.","hca healthcare, inc.",73
enbridge inc.,biogen inc.,73
phillips 66 company,phillips 66,73
"compass minerals international, inc","honeywell international, inc.",73
consolidated communications inc.,"consolidated edison, inc.",73
"one gas, inc.","oneok, inc.",73
"greif, inc.","revvity, inc.",73
entegris inc.,zoetis inc.,73
"rogers communications, inc.",sba communications corp,73
eldorado gold corporation,veralto corporation,73
albany international corp.,baxter international inc.,73
madison gas & electric co.,emerson electric co.,73
berry global inc.,s&p global inc.,73
michael baker international llc,baxter international inc.,73
mdu resources group inc.,"eog resources, inc.",73
braskem international ltd,baxter international inc.,73
boyd gaming corporation,ameren corporation,73
alphabet inc.,alphabet inc. class c,73
apache corp.,oracle corp,73
unitedhealth group,unitedhealth group incorporated,73
amneal pharmaceuticals llc,vertex pharmaceuticals inc,73
trinity industries inc.,"ppg industries, inc.",73
manpowergroup inc.,cme group inc.,73
"arrow electronics, inc",electronic arts inc,73
charter communications inc.,sba communications corp,73
cabot corp.,comcast corp,73
"arrow electronics, inc.",electronic arts inc,73
manpowergroup inc.,cme group inc.,73
worthington industries inc.,"huntington ingalls industries, inc.",73
lions gate entertainment corp.,live nation entertainment inc.,72
westlake chemical corporation,eastman chemical company,72
pg&e corp.,pg&e corporation,72
wabash national corporation,carnival corporation,72
clearwater paper corporation,centene corporation,72
"arc document solutions, inc",jacobs solutions inc.,72
"iron mountain us holdings, inc.",iron mountain inc.,72
tecnoglass inc.,"ecolab, inc.",72
range resources corporation,targa resources corp.,72
public service enterprise,public service enterprise group incorporated,72
amc networks inc.,"palo alto networks, inc.",72
rayonier inc.,"teradyne, inc.",72
iheartcommunications inc.,sba communications corp,72
scientific games corporation,centene corporation,72
"charter communications, inc",sba communications corp,72
rayonier inc.,"teradyne, inc.",72
"welbilt, inc.",welltower inc.,72
"treehouse foods, inc.","tyson foods, inc.",72
alaska air group inc.,costar group inc,72
hess corp,hess corporation,72
shaw communications inc. class,sba communications corp,72
"armstrong world industries, inc.","mohawk industries, inc.",72
service corp. international,edison international,72
ryerson holding corporation,exxon mobil corporation,72
spirit airlines inc.,"delta air lines, inc.",72
stericycle inc.,trimble inc.,72
"rent-a-center, inc.","nextra energy, inc.",72
compass minerals international inc.,baxter international inc.,72
kaiser aluminum corporation,carrier global corporation,72
"charter communications, inc.",sba communications corp,72
range resources corporation,targa resources corp.,72
"stoneridge, inc.","teradyne, inc.",71
"flowers foods, inc.","tyson foods, inc.",71
iridium communications inc.,verizon communications,71
triton container international ltd.,johnson controls international plc,71
wendy's company,westrock company,71
"michael baker international, llc",baxter international inc.,71
"international seaways, inc.",international paper co.,71
"southwest gas holdings, inc.","united airlines holdings, inc.",71
"global ship lease, inc.","global payments, inc.",71
"global water resources, inc.","eog resources, inc.",71
icon plc,linde plc,71
scientific games international inc.,philip morris international inc.,71
crown castle international,crown castle inc.,71
"h&r block, inc","blackrock, inc.",71
bottomline technologies,trane technologies plc,71
baidu inc.,ebay inc,71
wendy's company,westrock company,71
"iheartcommunications, inc.",sba communications corp,71
"caesars entertainment resort properties, llc","caesars entertainment, inc.",71
great plains energy inc.,"enphase energy, inc.",71
corning inc,corning incorporated,71
dell inc.,adobe inc.,71
corning inc.,corning incorporated,71
steelcase inc.,steel dynamics inc,71
"carrols restaurant group, inc.",costar group inc,71
lear corp.,eqt corp,71
"mdu resources group, inc.","eog resources, inc.",71
"kar auction services, inc","quanta services, inc.",71
"fairpoint communications, inc.",verizon communications,71
asbury automotive group inc.,"o'reilly automotive, inc.",71
aci worldwide inc.,"c.h. robinson worldwide, inc.",71
scientific games corp.,boston scientific corp.,70
columbus mckinnon corporation,masco corporation,70
tenneco inc,"cencora, inc.",70
southwestern energy co.,southwest airlines co.,70
autoliv inc.,autodesk inc,70
mrc global (us) inc.,"cboe global markets, inc.",70
"hertz global holdings, inc","paypal holdings, inc.",70
phibro animal health corporation,cvs health corporation,70
greif inc.,globe life inc.,70
fmc corp.,fmc corporation,70
cameco corp.,comcast corp,70
google inc.,biogen inc.,70
tenneco inc.,"cencora, inc.",70
rite aid corp.,intel corp,70
ncr corp.,nordson corp,70
dxc technology company,dte energy company,70
performance food group inc.,omnicom group inc.,70
huntsman international llc,johnson controls international plc,70
callon petroleum company,marathon petroleum corporation,70
"avis budget group, inc","cbre group, inc.",70
louisiana-pacific corporation,truist financial corporation,70
sunopta inc.,synopsys inc,70
belden inc.,biogen inc.,70
"twitter, inc.","fiserv, inc.",70
colfax corp.,comcast corp,70
lattice semiconductor corporation,on semiconductor corp,70
"casella waste systems, inc.","epam systems, inc.",70
"meritor, inc.","ametek, inc.",70
"meritor, inc","ametek, inc.",70
"scientific games international, inc.",philip morris international inc.,70
sanmina corp.,nvidia corp,70
"vail resorts, inc.","franklin resources, inc.",70
"burlington stores, inc.",ross stores inc,70
mantech international corporation,marathon oil corporation,70
"asbury automotive group, inc.","o'reilly automotive, inc.",69
amcor limited,chubb limited,69
lyondellbasell investment llc,lyondellbasell industries n.v. class a,69
carlisle companies incorporated,comerica incorporated,69
methanex corp.,m&t bank corp.,69
teva pharmaceutical industries ltd.,"west pharmaceutical services, inc.",69
rent-a-center inc.,"nextra energy, inc.",69
korea electric power corp.,"american electric power company, inc.",69
"ryman hospitality properties, inc.","boston properties, inc.",69
great plains energy incorporated,alliant energy corporation,69
general cable corp.,oracle corp,69
avago technologies cayman holdings ltd.,seagate technology holdings plcs,69
mckesson canada,mckesson corporation,69
united states cellular corporation,the allstate corporation,69
hanesbrands inc.,"hasbro, inc.",69
"digitalglobe, inc.",gen digital inc.,69
teva pharmaceutical industries ltd,"west pharmaceutical services, inc.",69
crown castle international corp.,baxter international inc.,69
"ingles markets, incorporated",texas instruments incorporated,69
masonite international corporation,marathon oil corporation,69
vail resorts inc.,vici properties inc.,69
california resources corporation,targa resources corp.,69
hanesbrands inc.,"hasbro, inc.",69
brookfield asset management inc.,"waste management, inc.",69
hub international limited,baxter international inc.,69
"murphy oil usa, inc.","t-mobile us, inc.",69
yamana gold inc.,amazon.com inc,69
armstrong world industries inc.,"mohawk industries, inc.",69
equifax inc.,"equifax, incorporated",69
"asbury automotive group, inc","o'reilly automotive, inc.",69
entravision communications corporation,sba communications corp,69
commercial vehicle group inc.,american airlines group inc.,69
equifax inc,"equifax, incorporated",69
edison mission energy,"dominion energy, inc",68
boise cascade company,coca-cola company,68
interpublic group of,"the interpublic group of companies, inc.",68
tupperware brands corporation,target corporation,68
madison gas and electric company,general electric company,68
"macom technology solutions holdings, inc.","lamb weston holdings, inc.",68
precision drilling corporation,exxon mobil corporation,68
tupperware brands corporation,target corporation,68
commercial metals company,general motors company,68
commercial metals company,general motors company,68
edison mission energy,"dominion energy, inc",68
carpenter technology corp.,"micron technology, inc.",68
"commercial vehicle group, inc.","principal financial group, inc.",68
teva pharmaceutical industries limited,"west pharmaceutical services, inc.",68
service corporation international,edison international,68
eastman kodak company (dip),eastman chemical company,68
caesars entertainment resort properties finance inc.,"caesars entertainment, inc.",68
canon inc.,"cencora, inc.",67
3m co.,3m company,67
"sinclair broadcast group, inc.","simon property group, inc.",67
southern copper corp.,northern trust corp,67
allegion plc,linde plc,67
gamestop corp.,waters corp,67
"nordstrom, inc","qorvo, inc.",67
"avangrid, inc.",viatris inc.,67
pioneer natural resources co.,targa resources corp.,67
dte energy center llc,dte energy company,67
meritor inc.,welltower inc.,67
"fiesta restaurant group, inc.","darden restaurants, inc.",67
hexcel corp.,intel corp,67
"baidu, inc.","udr, inc.",67
green plains inc.,generac holdings inc,67
northwest natural gas co.,southwest airlines co.,67
xerox corp.,waters corp,67
mccormick & company,coca-cola company,67
universal corp,intel corp,67
gogo inc.,"qorvo, inc.",67
"spx flow, inc.",s&p global inc.,67
oshkosh corp.,nordson corp,67
penske automotive group inc.,"o'reilly automotive, inc.",67
griffon corp.,nordson corp,67
open text corp.,northern trust corp,67
cooper-standard holdings inc.,"paypal holdings, inc.",67
teck resources ltd.,"eog resources, inc.",67
"intrepid potash, inc.","united rentals, inc.",67
kennametal inc.,kenvue inc.,67
"owens & minor, inc","w.w. grainger, inc.",67
asml holding n.v.,"paypal holdings, inc.",67
ingles markets inc.,"cboe global markets, inc.",67
allegiant travel company,vulcan materials company,67
burlington resources finance co.,"franklin resources, inc.",67
transdigm inc.,trimble inc.,67
"telephone and data systems, inc.","epam systems, inc.",67
casella waste systems inc.,"epam systems, inc.",67
kennametal inc.,kenvue inc.,67
kraft heinz canada ulc,the kraft heinz company,67
allegion plc,linde plc,67
ferro corp.,waters corp,67
fluor corp.,oracle corp,67
"smart modular technologies (global), inc.","tyler technologies, inc.",67
endo health solutions inc.,"motorola solutions, inc.",67
"sinclair broadcast group, inc.","simon property group, inc.",67
"nordstrom, inc.","qorvo, inc.",67
"benchmark electronics, inc.",electronic arts inc,67
carpenter technology,"micron technology, inc.",67
compass group plc,costar group inc,67
"national air cargo holdings, inc.","united airlines holdings, inc.",66
fleetcor technologies operating company llc,zebra technologies corporation,66
consolidated communications finance co.,sba communications corp,66
"fleetcor technologies operating co., llc",zebra technologies corporation,66
"community health systems, inc.","monolithic power systems, inc.",66
jazz pharmaceuticals ireland ltd,vertex pharmaceuticals inc,66
teck resources limited,"eog resources, inc.",65
central garden & pet company,general electric company,65
sonoco products company,clorox company,65
"coeur mining, inc","dominion energy, inc",65
oasis petroleum inc,ross stores inc,65
sempra energy,"nextra energy, inc.",65
liberty media corp.,kimberly-clark corp.,65
oasis petroleum inc.,ross stores inc,65
select medical holdings corporation,zebra technologies corporation,65
sonoco products company,clorox company,65
"penske automotive group, inc.","pultegroup, inc.",65
bed bath & beyond inc.,"bath & body works, inc.",65
tenet healthcare corp.,"molina healthcare, inc.",65
national fuel gas company,genuine parts company,65
"m/i homes, inc.",invitation homes inc.,65
"m/i homes, inc",invitation homes inc.,65
wolverine world wide inc,"c.h. robinson worldwide, inc.",65
"perkinelmer, inc","kinder morgan, inc.",65
sempra energy,"nextra energy, inc.",65
"toll brothers, inc","boston properties, inc.",65
callon petroleum co.,marathon petroleum corporation,65
"coeur mining, inc.","dominion energy, inc",65
wabash national corp.,sba communications corp,65
lamar advertising company,vulcan materials company,65
"waste connections, inc.","waste management, inc.",65
nielsen holdings plc,"united airlines holdings, inc.",65
wolverine world wide inc.,"c.h. robinson worldwide, inc.",65
peabody energy corp.,dte energy company,65
kinross gold corp.,microsoft corp,65
central garden & pet company,general electric company,65
national fuel gas company,genuine parts company,65
"perkinelmer, inc.","kinder morgan, inc.",65
berry global group inc.,"cbre group, inc.",65
carlisle companies,williams companies inc.,65
"dte energy center, llc",dte energy company,65
murphy oil usa inc.,"t-mobile us, inc.",65
wausau paper corp.,waters corp,64
dentsply sirona inc.,"etsy, inc.",64
american states water co.,american tower corporation,64
unisys corp.,vistra corp.,64
transalta corp,waters corp,64
trimas company llc,3m company,64
coca-cola european partners,coca-cola company,64
transalta corp.,waters corp,64
trimas company llc,3m company,64
lennar corp.,waters corp,64
embraer overseas limited,schlumberger limited,64
global one real estate investment corporation,state street corporation,64
laredo petroleum inc.,marathon petroleum corporation,64
chesapeake energy corp.,cms energy corporation,64
dentsply sirona inc.,"etsy, inc.",64
nordstrom inc.,nordson corp,64
cumulus media inc.,cummins inc.,64
kohl's corp.,oracle corp,64
sinclair broadcast group inc.,"simon property group, inc.",64
dish network corp.,vistra corp.,64
flowserve corp.,waters corp,64
telephone and data systems inc.,"epam systems, inc.",64
pioneer natural resources company,targa resources corp.,64
perkinelmer inc.,resmed inc.,64
vista outdoor inc.,visa inc.,64
proassurance casualty company,eastman chemical company,64
ss&c technologies holdings europe s.a.r.l.,seagate technology holdings plcs,63
johnson (s.c.) & son inc.,johnson & johnson,63
"charter communications operating, llc",sba communications corp,63
century aluminum company,archer daniels midland company,63
fti consulting inc.,iron mountain inc.,63
waste connections inc.,jacobs solutions inc.,63
community health systems inc.,"monolithic power systems, inc.",63
douglas dynamics llc,steel dynamics inc,63
ss&c technologies holdings europe s.a.r.l.,seagate technology holdings plcs,63
pvh corp.,vistra corp.,63
global partners lp,"global payments, inc.",63
stmicroelectronics n.v.,electronic arts inc,63
martin midstream partners l.p.,martin marietta materials,63
diageo plc,linde plc,63
great lakes dredge & dock corporation,celanese corporation,63
"laredo petroleum, inc.",marathon petroleum corporation,63
westinghouse air brake technologies corp.,zebra technologies corporation,63
"kratos defense and security solutions, inc.",broadridge financial solutions inc,63
bright horizons family solutions llc,broadridge financial solutions inc,63
galapagos holding s.a.,"paypal holdings, inc.",63
diageo plc,linde plc,63
"hemisphere media holdings, llc","zimmer biomet holdings, inc.",63
"kosmos energy, ltd.","dominion energy, inc",63
century aluminum company,archer daniels midland company,63
macquarie infrastructure corporation,the allstate corporation,63
pvh corp,vistra corp.,63
"american axle & manufacturing, inc.","american water works company, inc",63
owens & minor inc.,"w.w. grainger, inc.",63
cvs health,cvs health corporation,62
amerisourcebergen corp.,targa resources corp.,62
adient us llc,accenture plc,62
national fuel gas co.,international paper co.,62
northwest natural gas company,the walt disney company,62
cnh industrial nv,"mohawk industries, inc.",62
hudbay minerals inc.,humana inc.,62
greenbrier companies inc. (the),"the travelers companies, inc.",62
astrazeneca plc,fastenal co,62
"container store group, inc. (the)",costar group inc,62
sasol limited,chubb limited,62
petrochina company limited,westrock company,62
toll brothers inc.,dollar tree inc.,62
"commscope holding company, inc.","the cooper companies, inc.",62
wpp plc,aptiv plc,62
cleveland-cliffs inc.,gilead sciences inc,62
"penn national gaming, inc.","expeditors international of washington, inc.",62
"harley-davidson, inc","analog devices, inc.",62
beacon roofing supply inc.,tractor supply co,62
"allscripts healthcare solutions, inc.","molina healthcare, inc.",62
murphy oil corp.,marathon oil corporation,62
national grid plc,international paper co.,62
horizon global corp.,carrier global corporation,62
"hudbay minerals, inc.","united rentals, inc.",62
thomson reuters corp.,northern trust corp,62
"johnson (s.c.) & son, inc.",johnson & johnson,62
pdc energy,"xcel energy, inc.",62
"townsquare media, inc.","consolidated edison, inc.",62
consolidated communications finance ii co.,sba communications corp,62
eldorado gold corp.,oracle corp,62
compass minerals canada corp.,las vegas sands corp.,62
timken company (the),3m company,62
"fti consulting, inc.","leidos holdings, inc.",62
national grid north america inc.,"fidelity national information services, inc.",62
national grid plc,international paper co.,62
northwest natural gas company,the walt disney company,62
beazer homes usa inc.,"uber technologies, inc.",62
"harley-davidson, inc.","analog devices, inc.",62
wpp plc,aptiv plc,62
darling ingredients inc.,"darden restaurants, inc.",61
"cogent communications finance, inc.",verizon communications,61
"gray television, inc.","catalent, inc.",61
partnerre ltd.,garmin ltd,61
burlington resources finance company,"franklin resources, inc.",61
"sportsman's warehouse, inc.","paycom software, inc.",61
"advance auto parts, inc.","darden restaurants, inc.",61
alibaba group holding limited,labcorp holdings inc.,61
"advance auto parts, inc.","darden restaurants, inc.",61
stmicroelectronics finance b.v.,electronic arts inc,61
boyd gaming corp.,lockheed martin corp.,61
american axle & manufacturing inc.,"american water works company, inc",61
pitney bowes inc,invitation homes inc.,61
pitney bowes inc.,invitation homes inc.,61
telefonica s.a.,electronic arts inc,61
cnh industrial n.v.,nxp semiconductors n.v.,60
scotts miracle-gro company,eastman chemical company,60
murphy oil company ltd.,the mosaic company,60
eastman kodak co.,eastman chemical company,60
nabors industries ltd,"ppg industries, inc.",60
churchill downs inc.,cummins inc.,60
abb ltd,chubb limited,60
abb ltd.,chubb limited,60
"sprouts farmers market holdings, llc","zimmer biomet holdings, inc.",60
takeda pharmaceutical company limited,vertex pharmaceuticals inc,60
canadian national railway co.,international paper co.,60
ashland llc,linde plc,60
"beazer homes usa, inc.","uber technologies, inc.",60
brookdale senior living inc,booking holdings inc.,60
abb ltd,chubb limited,60
"beazer homes usa, inc","uber technologies, inc.",60
canadian national railway company,vulcan materials company,60
black hills corp.,starbucks corp,60
kratos defense & security solutions inc.,broadridge financial solutions inc,60
"allison transmission, inc.","constellation brands, inc.",60
barrick gold corp.,carrier global corporation,60
kosmos energy ltd.,"dominion energy, inc",59
"iron mountain information management, llc",iron mountain inc.,59
diebold nixdorf inc.,ingersoll rand inc.,59
united states cellular,"united rentals, inc.",59
technipfmc plc,medtronic plc,59
"american axle & manufacturing holdings, inc.","lamb weston holdings, inc.",59
"anheuser-busch inbev finance, inc","ameriprise financial, inc.",59
"osi restaurant partners, llc","darden restaurants, inc.",59
"douglas dynamics, l.l.c.",steel dynamics inc,59
pioneer energy services corp.,firstenergy corp.,59
ngl energy partners lp,"nrg energy, inc.",59
newmont usa ltd.,newmont corporation,59
jetblue airways corp.,waters corp,58
precision drilling corp.,regions financial corp.,58
coca-cola european partners plc,coca-cola company,58
taiwan semiconductor manufacturing co ltd,on semiconductor corp,58
anheuser-busch inbev finance inc.,henry schein inc,58
china state construction international holdings limited,johnson controls international plc,58
pioneer natural resources,targa resources corp.,58
anheuser-busch inbev finance inc,henry schein inc,58
"honda motor co., ltd",ford motor company,58
"diebold nixdorf, inc.",ingersoll rand inc.,58
kaiser aluminum corp.,vistra corp.,58
newell brands,ingersoll rand inc.,58
harley-davidson inc.,avery dennison corp.,58
mueller water products inc.,electronic arts inc,58
"axalta coating systems, llc","cisco systems, inc.",58
american axle & manufacturing,"american water works company, inc",58
china state construction int'l holdings ltd,norwegian cruise line holdings ltd.s,58
"big lots canada, inc.","nasdaq, inc.",58
new york times company (the),genuine parts company,58
olin canada ulc,linde plc,58
gray television inc.,verisign inc,58
"siteone landscape supply holding, llc","united airlines holdings, inc.",58
coca-cola european partners plc,coca-cola company,58
american axle & manufacturing holdings inc.,generac holdings inc,58
canadian natural resources ltd.,wynn resorts ltd,57
united utilities water finance plc,"united rentals, inc.",57
enel americas s.a.,steel dynamics inc,57
irsa propiedades comerciales s.a.,applied materials inc,57
express llc,steris plc,57
coca-cola femsa sab de cv,coca-cola company,57
cdw llc,dow inc.,57
"mueller water products, inc.","pultegroup, inc.",57
edgewell personal care co.,"honeywell international, inc.",57
united states cellular corp.,"united rentals, inc.",57
glaxosmithkline plc,linde plc,57
"pdl biopharma, inc.",copart inc,57
"penn national gaming, inc. (old)","expeditors international of washington, inc.",57
"cvr partners, lp","gartner, inc.",57
united utilities water finance plc,"united rentals, inc.",57
aluminum corporation of china limited,lennar corporation class a,57
enterprise products operating llc,"axon enterprise, inc.",57
glaxosmithkline plc,linde plc,57
sonoco products co.,omnicom group inc.,57
"activision blizzard, inc.","constellation brands, inc.",57
pacific life insurance company,the walt disney company,57
national grid usa,international paper co.,56
"houghton mifflin harcourt publishers, inc.","huntington ingalls industries, inc.",56
fresh del monte produce inc.,"franklin resources, inc.",56
century aluminum co.,accenture plc,56
booz allen hamilton inc.,"elevance health, inc.",56
telefonica sa,electronic arts inc,56
"gap, inc. (the)","netapp, inc",56
national grid gas plc,international paper co.,56
stonemor partners l.p.,"boston properties, inc.",56
osi restaurant partners llc,"darden restaurants, inc.",56
capital product partners l.p.,arch capital group ltd,56
lamar advertising co.,verisign inc,56
stonemor partners l.p.,"boston properties, inc.",56
edgewell personal care,"honeywell international, inc.",56
"fortune brands home & security, inc.","host hotels & resorts, inc.",56
"enterprise products operating, llc","axon enterprise, inc.",56
america movil sab de cv,american airlines group inc.,56
national grid gas plc,international paper co.,56
telefonica sa,electronic arts inc,56
canadian natural resources limited,"franklin resources, inc.",56
national grid gas plc,international paper co.,56
alliance laundry systems llc,cadence design systems,56
holly energy partners lp,alliant energy corporation,56
"plains all american pipeline,",bank of america corporation,55
axalta coating systems llc,"cisco systems, inc.",55
rio tinto plc,linde plc,55
"enviva partners, lp",genuine parts company,55
suburban propane partners l.p.,"boston properties, inc.",55
novartis ag,viatris inc.,55
rio tinto plc,linde plc,55
america movil b.v.,american airlines group inc.,55
scotts miracle-gro company (the),eastman chemical company,55
container store inc. (the),ross stores inc,55
coca-cola european partners us llc,coca-cola company,55
merck sharp & dohme corp.,"merck & co., inc.",55
glaxosmithkline capital inc.,baxter international inc.,55
mobile telesystems pjsc,"epam systems, inc.",55
pbf logistics lp,"prologis, inc.",55
teva capital services switzerland gmbh,"united parcel service, inc. class b",55
canadian national railway,"american international group, inc.",55
novartis ag,viatris inc.,55
telecom argentina s.a.,electronic arts inc,55
telefonica brasil s.a.,electronic arts inc,55
mosaic co. (the),the mosaic company,55
california water service co.,"quanta services, inc.",55
glatfelter (p.h.) co.,arthur j. gallagher & co.,55
gap inc. (the),apple inc.,55
"magellan midstream partners,",martin marietta materials,54
nektar therapeutics,regeneron pharmaceuticals inc,54
algonquin power & utilities corp.,allegion public limited company,54
"holly energy partners, l.p.",alliant energy corporation,54
merck sharpe & dohme corp.,"merck & co., inc.",54
"coca-cola european partners us, llc",coca-cola company,54
pilgrim's pride corp.,lam research corp,54
plains all american pipeline l.p.,american airlines group inc.,54
texas eastern transmission l.p.,"caesars entertainment, inc.",54
enterprise products partners,"axon enterprise, inc.",54
houghton mifflin harcourt publishers inc.,"huntington ingalls industries, inc.",54
british american tobacco p.l.c.,"american water works company, inc",54
"suburban propane partners, l.p.","boston properties, inc.",54
"texas gas transmission, llc","caesars entertainment, inc.",53
glaxosmithkline capital plc,arch capital group ltd,53
glaxosmithkline capital plc,arch capital group ltd,53
central garden & pet co.,international paper co.,53
google llc,linde plc,53
wpp cp llc,aptiv plc,53
ambev s.a.,campbell soup company,53
york water co. (the),waters corp,53
rio tinto limited,chubb limited,53
signet jewelers ltd,invesco ltd,53
"america movil, b.v.","merck & co., inc.",53
flex ltd.,invesco ltd,53
tata motors ltd.,arista networks,53
cedar fair l.p.,"delta air lines, inc.",53
new york times co. (the),bank of new york mellon corporation,52
british american tobacco plc.,american tower corporation,52
british american tobacco plc,american tower corporation,52
texas gas transmission llc,las vegas sands corp.,52
timken co. (the),"merck & co., inc.",52
braskem s.a.,baker hughes company,52
the chefs' warehouse,the charles schwab corporation,52
grifols s.a.,"rollins, inc.",52
america movil s.a.b. de c.v.,american airlines group inc.,52
anheuser-busch inbev sa/nv,henry schein inc,52
anheuser-busch inbev sa/nv,henry schein inc,52
anheuser busch inbev nv/sa,henry schein inc,52
"calumet specialty products partners, l.p.","healthpeak properties, inc.",52
vale s.a.,aon plc class a,52
great lakes dredge & dock corp.,las vegas sands corp.,52
"cedar fair, l.p.",wells fargo & co.,52
royal dutch shell plc,trane technologies plc,51
magellan midstream partners lp,martin marietta materials,51
"industrias bachoco, s.a.b. de c.v.","cf industries holding, inc.",51
texas eastern transmission lp,texas instruments incorporated,51
"coca-cola femsa, s.a.b. de c.v.",coca-cola company,51
black hills gas llc,labcorp holdings inc.,51
royal dutch shell plc,trane technologies plc,51
tata motors limited,schlumberger limited,51
"america movil, s.a.b. de c.v.",american airlines group inc.,51
gold fields limited,schlumberger limited,51
telefonica chile s.a.,electronic arts inc,51
axalta coating systems ltd.,lennar corporation class a,50
orange,public storage,50
scotts miracle-gro co. (the),southwest airlines co.,50
calumet specialty products partners lp,"healthpeak properties, inc.",50
gerdau s.a.,general motors company,50
aecom,waters corp,50
enersys,ansys inc,50
sk telecom co. ltd.,"everest group, ltd.",50
koninklijke philips nv,conocophillips,50
"telefonica finanzas mexico, s.a. de c.v.","the hartford financial services group, inc.",49
"sk telecom co., ltd.","everest group, ltd.",49
"sk telecom co., ltd","everest group, ltd.",49
"magellan midstream partners, l.p.",martin marietta materials,49
"controladora mabe, s.a. de c.v.","conagra brands, inc.",49
koninklijke philips n.v.,conocophillips,49
clearwater,waters corp,48
"great atlantic & pacific tea co., inc.(the)","church & dwight co., inc.",48
posco,"pepsico, inc.",47
novo nordisk a/s,"boston properties, inc.",47
brookfield renewable partners ulc,international paper co.,47
orion engineered carbons gmbh,verizon communications,47
cementos pacasmayo s.a.a.,news corporation class a,46
turkcell iletisim hizmetleri a.s.,martin marietta materials,46
turkcell iletisim hizmetleri a.s,martin marietta materials,46
brookfield renewable partners l.p.,"united rentals, inc.",46
ypf sociedad anonima,"consolidated edison, inc.",45
brf s.a.,"hasbro, inc.",44
sanofi,u.s. bancorp,44
sanofi sa,kellanova,44
