Company,Name,Score
"delta air lines, inc.","delta air lines, inc.",100
hormel foods corporation,hormel foods corporation,100
eastman chemical company,eastman chemical company,100
"fiserv, inc.","fiserv, inc.",100
"tyson foods, inc.","tyson foods, inc.",100
"nike, inc.","nike, inc.",100
snap-on incorporated,snap-on incorporated,100
atmos energy corporation,atmos energy corporation,100
csx corporation,csx corporation,100
nvidia corp.,nvidia corp,100
d.r. horton inc.,d.r. horton inc.,100
costco wholesale corp.,costco wholesale corp,100
amazon.com inc.,amazon.com inc,100
republic services inc.,republic services inc.,100
juniper networks inc.,juniper networks inc,100
chevron corporation,chevron corporation,100
exxon mobil corporation,exxon mobil corporation,100
iron mountain inc.,iron mountain inc.,100
pg&e corporation,pg&e corporation,100
"walgreens boots alliance, inc","walgreens boots alliance, inc",100
campbell soup company,campbell soup company,100
union pacific corp.,union pacific corp.,100
xylem inc.,xylem inc,100
davita inc.,davita inc.,100
omnicom group inc.,omnicom group inc.,100
"pepsico, inc.","pepsico, inc.",100
caterpillar inc.,caterpillar inc.,100
sba communications corp.,sba communications corp,100
trimble inc.,trimble inc.,100
netflix inc,netflix inc,100
ball corporation,ball corporation,100
"cardinal health, inc.","cardinal health, inc.",100
dover corporation,dover corporation,100
public service enterprise group incorporated,public service enterprise group incorporated,100
"netapp, inc.","netapp, inc",100
"hasbro, inc.","hasbro, inc.",100
occidental petroleum corporation,occidental petroleum corporation,100
phillips 66,phillips 66,100
quest diagnostics inc.,quest diagnostics inc.,100
paccar inc,paccar inc,100
"ppg industries, inc.","ppg industries, inc.",100
"stanley black & decker, inc.","stanley black & decker, inc.",100
nxp semiconductors n.v.,nxp semiconductors n.v.,100
lam research corp.,lam research corp,100
"qorvo, inc.","qorvo, inc.",100
steel dynamics inc.,steel dynamics inc,100
amphenol corporation,amphenol corporation,100
northrop grumman corp.,northrop grumman corp.,100
ross stores inc.,ross stores inc,100
centene corporation,centene corporation,100
live nation entertainment inc.,live nation entertainment inc.,100
"american electric power company, inc.","american electric power company, inc.",100
humana inc.,humana inc.,100
comcast corp.,comcast corp,100
dte energy company,dte energy company,100
"conagra brands, inc","conagra brands, inc.",100
fmc corporation,fmc corporation,100
cdw corporation,cdw corporation,100
southwest airlines co.,southwest airlines co.,100
devon energy corporation,devon energy corporation,100
ebay inc.,ebay inc,100
mckesson corporation,mckesson corporation,100
"mohawk industries, inc.","mohawk industries, inc.",100
"motorola solutions, inc.","motorola solutions, inc.",100
archer daniels midland company,archer daniels midland company,100
"conagra brands, inc.","conagra brands, inc.",100
pinnacle west capital corporation,pinnacle west capital corporation,100
"american water works company, inc.","american water works company, inc",100
"micron technology, inc","micron technology, inc.",100
"oneok, inc.","oneok, inc.",100
teleflex incorporated,teleflex incorporated,100
intuit inc,intuit inc,100
accenture plc,accenture plc,100
jabil inc.,jabil inc.,100
"diamondback energy, inc.","diamondback energy, inc.",100
"wec energy group, inc.","wec energy group, inc.",100
nucor corporation,nucor corporation,100
"verisk analytics, inc.","verisk analytics, inc.",100
charles river laboratories international inc.,"charles river laboratories international, inc.",99
huntington ingalls industries inc.,"huntington ingalls industries, inc.",99
fidelity national information services inc.,"fidelity national information services, inc.",99
"freeport-mcmoran, inc",freeport-mcmoran inc.,98
o'reilly automotive inc.,"o'reilly automotive, inc.",98
thermo fisher scientific inc.,"thermo fisher scientific, inc.",98
verisk analytics inc,"verisk analytics, inc.",98
"texas instruments, incorporated",texas instruments incorporated,98
"live nation entertainment, inc.",live nation entertainment inc.,98
darden restaurants inc.,"darden restaurants, inc.",98
mohawk industries inc.,"mohawk industries, inc.",98
wec energy group inc,"wec energy group, inc.",98
diamondback energy inc,"diamondback energy, inc.",98
honeywell international inc.,"honeywell international, inc.",98
constellation brands inc.,"constellation brands, inc.",98
micron technology inc.,"micron technology, inc.",98
"juniper networks, inc.",juniper networks inc,98
builders firstsource inc.,"builders firstsource, inc.",98
walgreens boots alliance inc,"walgreens boots alliance, inc",98
keysight technologies inc.,"keysight technologies, inc.",98
stanley black & decker inc.,"stanley black & decker, inc.",98
roper technologies inc.,"roper technologies, inc.",98
wec energy group inc.,"wec energy group, inc.",98
"republic services, inc.",republic services inc.,98
motorola solutions inc.,"motorola solutions, inc.",98
packaging corp. of america,packaging corp of america,98
o'reilly automotive inc,"o'reilly automotive, inc.",98
thermo fisher scientific inc.,"thermo fisher scientific, inc.",98
"republic services, inc",republic services inc.,98
rockwell automation inc.,"rockwell automation, inc.",98
honeywell international inc,"honeywell international, inc.",98
"juniper networks, inc.",juniper networks inc,98
general mills inc.,"general mills, inc.",97
"nextera energy, inc.","nextra energy, inc.",97
"borgwarner, inc.",borgwarner inc.,97
"iron mountain, inc",iron mountain inc.,97
"d.r. horton, inc.",d.r. horton inc.,97
cardinal health inc.,"cardinal health, inc.",97
analog devices inc.,"analog devices, inc.",97
xcel energy inc.,"xcel energy, inc.",97
tyson foods inc.,"tyson foods, inc.",97
"t-mobile usa, inc.","t-mobile us, inc.",97
global payments inc,"global payments, inc.",97
hca healthcare inc,"hca healthcare, inc.",97
"omnicom group, inc.",omnicom group inc.,97
ppg industries inc.,"ppg industries, inc.",97
nrg energy inc.,"nrg energy, inc.",97
"gilead sciences, inc.",gilead sciences inc,97
global payments inc.,"global payments, inc.",97
"amazon.com, inc.",amazon.com inc,97
xcel energy inc.,"xcel energy, inc.",97
"amazon.com, inc",amazon.com inc,97
"nextera energy, inc.","nextra energy, inc.",97
"d.r. horton, inc",d.r. horton inc.,97
yum! brands inc.,"yum! brands, inc.",97
cisco systems inc.,"cisco systems, inc.",97
"steel dynamics, inc.",steel dynamics inc,97
conagra brands inc.,"conagra brands, inc.",97
"dollar tree, inc.",dollar tree inc.,97
"steel dynamics, inc",steel dynamics inc,97
"gilead sciences, inc",gilead sciences inc,97
t-mobile us inc.,"t-mobile us, inc.",97
eog resources inc.,"eog resources, inc.",97
united rentals inc.,"united rentals, inc.",97
delta air lines inc.,"delta air lines, inc.",97
"cummins, inc.",cummins inc.,96
"netflix, inc.",netflix inc,96
textron inc.,"textron, inc.",96
pepsico inc.,"pepsico, inc.",96
autozone inc.,"autozone, inc.",96
"illumina, inc.",illumina inc,96
"hologic, inc.",hologic inc,96
textron inc,"textron, inc.",96
teradyne inc,"teradyne, inc.",96
"autodesk, inc.",autodesk inc,96
"interpublic group of companies, inc.","the interpublic group of companies, inc.",95
ecolab inc.,"ecolab, inc.",95
netapp inc.,"netapp, inc",95
fiserv inc.,"fiserv, inc.",95
hasbro inc.,"hasbro, inc.",95
ecolab inc.,"ecolab, inc.",95
johnson controls international,johnson controls international plc,94
ncr corporation,nucor corporation,94
"d. r. horton, inc.",d.r. horton inc.,94
"ebay, inc.",ebay inc,94
nextera energy inc.,"nextra energy, inc.",94
msci inc.,"msci, inc.",94
nike inc.,"nike, inc.",94
american electric power co. inc.,"american electric power company, inc.",93
ptc inc.,"ptc, inc",93
"air products and chemicals, inc.","air products & chemicals, inc.",93
martin marietta materials inc.,martin marietta materials,93
automatic data processing inc.,automatic data processing,93
nvr inc.,"nvr, inc.",93
advanced micro devices inc.,advanced micro devices,92
hewlett packard enterprise co.,hewlett packard enterprise company,92
vertex pharmaceuticals,vertex pharmaceuticals inc,92
sherwin-williams company,the sherwin-williams company,92
"american water works company,","american water works company, inc",92
air products and chemicals inc.,"air products & chemicals, inc.",92
cadence design systems inc.,cadence design systems,92
harsco corporation,masco corporation,91
microchip technology,microchip technology inc,91
avista corp.,vistra corp.,91
"martin marietta materials, inc.",martin marietta materials,91
"becton, dickinson and company","becton, dickinson and co.",91
apache corporation,apa corporation,91
harsco corporation,masco corporation,91
apache corporation,apa corporation,91
archer daniels midland co.,archer daniels midland company,91
"becton, dickinson and company","becton, dickinson and co.",91
lear corporation,kla corporation,90
bristol-myers squibb company,bristol-myers squibb co.,90
"advanced micro devices, inc.",advanced micro devices,90
bristol-myers squibb company,bristol-myers squibb co.,90
kraft heinz company,the kraft heinz company,90
lear corporation,kla corporation,90
"cadence design systems, inc.",cadence design systems,90
becton dickinson & co.,"becton, dickinson and co.",89
hexcel corporation,exelon corporation,89
caesars entertainment,"caesars entertainment, inc.",89
public service enterprise group inc.,public service enterprise group incorporated,89
fluor corporation,nucor corporation,88
eastman chemical co.,eastman chemical company,88
"interpublic group of companies, inc. (the)","the interpublic group of companies, inc.",88
fluor corporation,nucor corporation,88
hershey company,the hershey company,88
atkore international inc.,baxter international inc.,88
olin corporation,pool corporation,88
occidental petroleum corp.,occidental petroleum corporation,88
emerson electric company,emerson electric co.,88
"charles river laboratories int'l, inc.","charles river laboratories international, inc.",88
deluxe corporation,idex corporation,88
williams companies inc. (the),williams companies inc.,88
eastman chemical co,eastman chemical company,88
vulcan materials co.,vulcan materials company,88
deluxe corporation,idex corporation,88
nokia corporation,kla corporation,88
mosaic company,the mosaic company,88
olin corporation,pool corporation,88
"constellation brands canada, inc.","constellation brands, inc.",88
xerox corporation,rtx corporation,88
the aes corporation,aes corporation,88
terex corporation,rtx corporation,88
pinnacle west capital corp.,pinnacle west capital corporation,88
xerox corporation,rtx corporation,88
terex corporation,rtx corporation,88
eqt corporation,rtx corporation,87
las vegas sands llc,las vegas sands corp.,87
